[('[1*]C(=O)[C@H](CC(C)C)C(=O)[C@@H](N[5*])[C@@H](C)O', 199.120843404,
('[5*]N[C@@H](C[8*])C(=O)NN(CCC(N)=O)C([6*])=O', 199.083115212,
('[8*]CS(=O)C1=[SH]c2ncccc2N1', 198.999979844,
('[5*]N[C@@H](CCC(=O)O)C(=O)C(F)(F)F', 198.037802744,
('[5*]N[C@@H](CCC(N)=O)C(=O)C(F)(F)F', 197.053787156,
('[16*]c1c(O)c(Cl)cc(Cl)c1Cl', 194.917122724,
('[3*]Oc1nc2ccccc2c2ccccc12', 194.060588876,
('[14*]c1oc2cc(O)cc(O)c2c(=O)c1O', 193.01369826,
('[3*]Oc1c([14*])oc2cc(O)cc(O)c2c1=O', 192.005873228,
('[3*]Oc1cc(O)c2c(=O)c(O)c([14*])oc2c1', 192.005873228,
('[3*]Oc1oc([14*])nc1C=Nc1ccccc1[16*]', 185.0351024,
('[8*]CN1C(=O)C(=O)c2cc(C#N)ccc21', 185.0351024,
('[1*]C(=O)/C=C/c1ccc(Cl)cc1F', 183.00129568,
('[1*]C(=O)CC[C@H](N[5*])C(=O)C(F)(F)F', 181.035063092,
('[14*]c1nc2ccccc2c2ccccc12', 178.065674256,
('[8*]CN1C(=O)C(=O)c2cc(F)ccc21', 178.03043162,
('[1*]C(=O)c1cc2cc(Cl)ccc2[nH]1', 178.00596646,
('[14*]c1cc(=O)c2c(O)cc(O)cc2o1', 177.01878364,
('[1*]C(=O)/C=C/c1ccc([N+](=O)[O-])cc1', 176.034768052,
('[14*]c1oc2cc(O)cc(O)c2c(=O)c1[16*]', 176.010958608,
('[14*]c1oc2cc([16*])cc(O)c2c(=O)c1O', 176.010958608,
('[1*]C(=O)/C=C/c1ccc2c(c1)OCO2', 175.039519084,
('[11*]Sc1nnc([14*])n1-c1ccccc1', 175.02041816,
('[1*]C(=O)[C@H](CO)C(=O)[C@@H](N[5*])[C@@H](C)O', 173.068807832,
('[3*]Oc1cncc(Br)c1', 171.939800816,
('[5*]Nc1ccc([N+](=O)[O-])cc1Cl', 170.996130048,
